epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2146,1.35471,1.62582,1.16092,0.56193,0.54564,0.5346,0.29765,1.28074,1.2367,1.1345,0.000475063,0.000475063,0.000475063
2,76.7936,1.26595,1.05303,1.14243,0.58172,0.53177,0.54393,0.30112,1.23394,1.06973,1.13805,0.000932559,0.000932559,0.000932559
3,107.502,1.24659,0.96209,1.14041,0.66284,0.54386,0.59189,0.33287,1.23341,0.93658,1.11841,0.00137119,0.00137119,0.00137119
4,137.265,1.21336,0.89952,1.1224,0.64425,0.56915,0.61308,0.34697,1.19656,0.88924,1.10754,0.00134412,0.00134412,0.00134412
5,165.416,1.16439,0.85425,1.10148,0.69076,0.58089,0.63326,0.35991,1.16378,0.85578,1.09219,0.00131582,0.00131582,0.00131582
6,193.453,1.14252,0.81405,1.08884,0.68342,0.59756,0.66227,0.37957,1.14019,0.82221,1.07892,0.00128753,0.00128753,0.00128753
7,221.531,1.11652,0.78541,1.0786,0.72225,0.59412,0.66387,0.37377,1.14348,0.79346,1.072,0.00125923,0.00125923,0.00125923
8,249.983,1.09136,0.76153,1.06433,0.75052,0.61272,0.69731,0.4111,1.08558,0.77553,1.04739,0.00123094,0.00123094,0.00123094
9,277.803,1.06795,0.73914,1.05509,0.72853,0.62527,0.69661,0.41327,1.05893,0.73012,1.03881,0.00120265,0.00120265,0.00120265
10,306.47,1.05136,0.72459,1.04619,0.73585,0.64412,0.71471,0.42193,1.07038,0.73145,1.04072,0.00117435,0.00117435,0.00117435
11,335.098,1.03913,0.70881,1.03829,0.77838,0.64856,0.72963,0.43838,1.05713,0.71929,1.0313,0.00114606,0.00114606,0.00114606
12,363.216,1.01291,0.68635,1.02808,0.77371,0.69097,0.75946,0.46354,1.00936,0.70828,1.01553,0.00111776,0.00111776,0.00111776
13,391.307,1.00545,0.67726,1.02509,0.77437,0.69425,0.77115,0.47701,0.98981,0.6754,1.00923,0.00108947,0.00108947,0.00108947
14,419.44,0.99049,0.6675,1.01601,0.75806,0.69581,0.76509,0.47461,0.98337,0.66789,0.9958,0.00106118,0.00106118,0.00106118
15,447.63,0.97632,0.65726,1.01092,0.79774,0.68681,0.76764,0.47877,0.98318,0.66443,0.99033,0.00103288,0.00103288,0.00103288
16,475.945,0.96814,0.64443,1.00607,0.80649,0.68874,0.77203,0.49334,0.97035,0.65258,0.99034,0.00100459,0.00100459,0.00100459
17,504.543,0.95533,0.6347,0.99921,0.79541,0.70247,0.78075,0.49336,0.94903,0.63534,0.97936,0.000976293,0.000976293,0.000976293
18,533.216,0.94347,0.62321,0.99467,0.84464,0.70733,0.80505,0.51057,0.93783,0.62892,0.97739,0.000947999,0.000947999,0.000947999
19,561.73,0.93261,0.61473,0.98946,0.82709,0.70014,0.79903,0.50902,0.92359,0.61908,0.9695,0.000919704,0.000919704,0.000919704
20,590.215,0.92062,0.60685,0.98392,0.77304,0.72261,0.79667,0.51506,0.92329,0.623,0.9733,0.00089141,0.00089141,0.00089141
21,618.563,0.91266,0.59448,0.97983,0.83819,0.70362,0.80601,0.52789,0.89919,0.59544,0.95977,0.000863116,0.000863116,0.000863116
22,646.98,0.90546,0.58964,0.97643,0.80934,0.72789,0.80729,0.52934,0.90383,0.59371,0.96329,0.000834822,0.000834822,0.000834822
23,676.167,0.89757,0.57829,0.9745,0.86086,0.72658,0.82382,0.54028,0.89563,0.57985,0.95885,0.000806528,0.000806528,0.000806528
24,705.702,0.88372,0.56953,0.96858,0.8405,0.721,0.81849,0.54048,0.87939,0.5692,0.9522,0.000778233,0.000778233,0.000778233
25,734.977,0.8705,0.5594,0.96215,0.83328,0.74262,0.82649,0.54392,0.87891,0.57252,0.95047,0.000749939,0.000749939,0.000749939
26,764.22,0.86463,0.55758,0.96031,0.82062,0.74999,0.83173,0.54801,0.86419,0.55768,0.94536,0.000721645,0.000721645,0.000721645
27,793.465,0.85627,0.55093,0.95662,0.84351,0.74877,0.83798,0.55795,0.8523,0.55182,0.94357,0.000693351,0.000693351,0.000693351
28,822.991,0.84718,0.54143,0.95268,0.84635,0.7414,0.83992,0.56056,0.85316,0.54712,0.93775,0.000665057,0.000665057,0.000665057
29,852.305,0.8388,0.53755,0.95106,0.8629,0.73062,0.83516,0.56223,0.83643,0.5437,0.93165,0.000636762,0.000636762,0.000636762
30,881.477,0.83872,0.5306,0.94533,0.84659,0.75183,0.84525,0.57225,0.83897,0.53757,0.9329,0.000608468,0.000608468,0.000608468
31,910.778,0.8282,0.52674,0.94428,0.81649,0.77232,0.84275,0.57251,0.82983,0.53524,0.93031,0.000580174,0.000580174,0.000580174
32,939.671,0.81752,0.51818,0.93908,0.86232,0.75323,0.85298,0.58045,0.81462,0.51791,0.9247,0.00055188,0.00055188,0.00055188
33,969.456,0.80819,0.51266,0.93543,0.85143,0.78117,0.86392,0.59007,0.81416,0.51998,0.92492,0.000523586,0.000523586,0.000523586
34,999.706,0.80271,0.5058,0.93491,0.84769,0.77168,0.85823,0.59092,0.80603,0.51201,0.92132,0.000495291,0.000495291,0.000495291
35,1030.51,0.79091,0.50074,0.92958,0.87356,0.77665,0.862,0.59655,0.7939,0.50294,0.91691,0.000466997,0.000466997,0.000466997
36,1059.83,0.78182,0.49201,0.92646,0.85971,0.78636,0.86551,0.59528,0.79516,0.49984,0.91555,0.000438703,0.000438703,0.000438703
37,1090.24,0.77618,0.48908,0.92306,0.88027,0.7711,0.86556,0.59912,0.78246,0.49696,0.91345,0.000410409,0.000410409,0.000410409
38,1121.63,0.77104,0.48319,0.92214,0.8575,0.78863,0.87059,0.60655,0.77909,0.48912,0.90962,0.000382115,0.000382115,0.000382115
39,1150.87,0.75962,0.47699,0.918,0.88061,0.78109,0.87311,0.61238,0.77741,0.49071,0.90785,0.00035382,0.00035382,0.00035382
40,1179.14,0.75285,0.47184,0.91575,0.8825,0.78398,0.87323,0.60733,0.76863,0.4798,0.90351,0.000325526,0.000325526,0.000325526
41,1222.24,0.75543,0.47194,0.91496,0.87154,0.7954,0.87768,0.61146,0.76793,0.48109,0.90458,0.000297232,0.000297232,0.000297232
42,1249.9,0.74316,0.46314,0.90919,0.88385,0.79618,0.87751,0.61649,0.75973,0.47346,0.90058,0.000268938,0.000268938,0.000268938
43,1277.63,0.73313,0.45973,0.90765,0.85973,0.8002,0.87989,0.61869,0.75671,0.47316,0.89888,0.000240644,0.000240644,0.000240644
44,1305.86,0.72806,0.45295,0.90515,0.86867,0.79527,0.88369,0.6216,0.75265,0.46675,0.89749,0.000212349,0.000212349,0.000212349
45,1335.45,0.72091,0.45044,0.90294,0.87885,0.79427,0.88211,0.62528,0.74832,0.46478,0.89569,0.000184055,0.000184055,0.000184055
46,1365.29,0.71541,0.44596,0.90283,0.86721,0.80966,0.88217,0.62721,0.74465,0.4659,0.89444,0.000155761,0.000155761,0.000155761
47,1395.23,0.7106,0.44319,0.90056,0.88349,0.80216,0.88489,0.62728,0.74017,0.46024,0.89239,0.000127467,0.000127467,0.000127467
48,1425.3,0.70125,0.43792,0.89582,0.86666,0.80955,0.88615,0.62833,0.73596,0.45735,0.89156,9.91726e-05,9.91726e-05,9.91726e-05
49,1455.17,0.69479,0.43289,0.89444,0.88914,0.79568,0.88743,0.63015,0.73327,0.45512,0.88993,7.08784e-05,7.08784e-05,7.08784e-05
50,1485.09,0.68976,0.43127,0.89432,0.88682,0.80621,0.88793,0.63332,0.73016,0.45266,0.88905,4.25842e-05,4.25842e-05,4.25842e-05
