epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5404,1.42032,3.30791,1.17863,0.5484,0.53512,0.52221,0.266,1.34045,2.50189,1.18713,0.000475063,0.000475063,0.000475063
2,76.0373,1.34514,2.21951,1.16902,0.60981,0.52203,0.546,0.29525,1.31155,2.14227,1.18524,0.000932559,0.000932559,0.000932559
3,105.277,1.32697,2.00874,1.16693,0.60941,0.54931,0.56036,0.30528,1.28154,1.95858,1.15531,0.00137119,0.00137119,0.00137119
4,133.689,1.29024,1.8836,1.14753,0.60744,0.5427,0.57471,0.31416,1.32295,1.9128,1.16019,0.00134412,0.00134412,0.00134412
5,163.102,1.25563,1.78526,1.13074,0.68775,0.53079,0.58757,0.32684,1.19991,1.72195,1.12378,0.00131582,0.00131582,0.00131582
6,194.565,1.23157,1.72165,1.11973,0.72872,0.58498,0.66097,0.36877,1.18571,1.67173,1.10598,0.00128753,0.00128753,0.00128753
7,224.814,1.20777,1.67308,1.10894,0.63211,0.58731,0.62297,0.35066,1.18811,1.71538,1.10117,0.00125923,0.00125923,0.00125923
8,254.794,1.18646,1.61744,1.09803,0.73821,0.53404,0.62089,0.35372,1.15612,1.66079,1.08441,0.00123094,0.00123094,0.00123094
9,284.014,1.17191,1.59072,1.09183,0.70789,0.60388,0.65835,0.37144,1.14588,1.57123,1.07923,0.00120265,0.00120265,0.00120265
10,313.297,1.15533,1.55627,1.0809,0.68179,0.61032,0.67328,0.39916,1.10296,1.53395,1.05915,0.00117435,0.00117435,0.00117435
11,342.526,1.14407,1.51613,1.07034,0.73909,0.62441,0.69857,0.40309,1.12153,1.50381,1.0617,0.00114606,0.00114606,0.00114606
12,371.65,1.11953,1.47532,1.06549,0.75575,0.61934,0.69821,0.42203,1.08227,1.51129,1.0459,0.00111776,0.00111776,0.00111776
13,400.618,1.12047,1.47089,1.06532,0.7339,0.65622,0.73084,0.42491,1.06245,1.42211,1.04589,0.00108947,0.00108947,0.00108947
