epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7335,1.25024,0.94193,1.13968,0.68237,0.4435,0.50893,0.284,1.25939,0.93464,1.1441,0.000475697,0.000475697,0.000475697
2,114.255,1.23525,0.90713,1.14986,0.67414,0.5371,0.59487,0.33007,1.22127,0.89886,1.14882,0.00093318,0.00093318,0.00093318
3,162.922,1.20741,0.87455,1.13693,0.63602,0.5755,0.59711,0.34053,1.1945,0.86003,1.1191,0.0013718,0.0013718,0.0013718
4,211.46,1.17328,0.83285,1.12004,0.71578,0.5987,0.66535,0.3797,1.14761,0.81203,1.09555,0.00134412,0.00134412,0.00134412
5,259.882,1.13187,0.79256,1.10372,0.72556,0.61948,0.67483,0.37598,1.14779,0.78279,1.09065,0.00131582,0.00131582,0.00131582
6,308.152,1.10822,0.75533,1.08504,0.75364,0.61924,0.69461,0.40636,1.07828,0.7435,1.07344,0.00128753,0.00128753,0.00128753
7,357.558,1.07882,0.73284,1.07433,0.74375,0.62434,0.69778,0.40973,1.0676,0.72958,1.05308,0.00125923,0.00125923,0.00125923
8,406.423,1.05409,0.71281,1.06086,0.77909,0.66471,0.73513,0.44357,1.03634,0.68851,1.04921,0.00123094,0.00123094,0.00123094
9,454.922,1.03789,0.69706,1.05187,0.72627,0.66094,0.71885,0.43748,1.01927,0.70905,1.03523,0.00120265,0.00120265,0.00120265
10,503.318,1.0139,0.67374,1.03761,0.73051,0.67813,0.73744,0.45169,1.01095,0.67183,1.02863,0.00117435,0.00117435,0.00117435
11,551.734,0.99664,0.65958,1.03045,0.76339,0.66237,0.73493,0.4529,0.9733,0.66583,1.0139,0.00114606,0.00114606,0.00114606
12,600.064,0.97831,0.64605,1.02244,0.75406,0.69046,0.74927,0.47102,0.97283,0.66893,1.01737,0.00111776,0.00111776,0.00111776
13,648.28,0.96803,0.63841,1.01563,0.77287,0.71105,0.76948,0.49401,0.94802,0.63683,1.00145,0.00108947,0.00108947,0.00108947
14,696.688,0.95086,0.62419,1.00835,0.7807,0.7055,0.7785,0.49498,0.95085,0.62584,0.99814,0.00106118,0.00106118,0.00106118
15,746.12,0.94013,0.61802,1.00304,0.76606,0.71996,0.77566,0.50049,0.92194,0.61332,0.98852,0.00103288,0.00103288,0.00103288
16,795.596,0.92667,0.60303,0.99538,0.82362,0.71155,0.80596,0.52534,0.91346,0.60272,0.98112,0.00100459,0.00100459,0.00100459
17,845.124,0.91735,0.59639,0.99148,0.78969,0.6875,0.78347,0.51572,0.90543,0.60504,0.97985,0.000976293,0.000976293,0.000976293
18,894.676,0.90348,0.58471,0.9839,0.79527,0.73357,0.81074,0.53679,0.89255,0.58306,0.97042,0.000947999,0.000947999,0.000947999
19,944.124,0.89466,0.57172,0.97941,0.80228,0.73517,0.81307,0.53823,0.87684,0.57807,0.96947,0.000919704,0.000919704,0.000919704
20,993.503,0.88513,0.56704,0.97652,0.8004,0.75377,0.82062,0.54021,0.87972,0.57063,0.96788,0.00089141,0.00089141,0.00089141
21,1042.84,0.87051,0.5553,0.973,0.82609,0.75278,0.8267,0.54369,0.86809,0.56108,0.96388,0.000863116,0.000863116,0.000863116
22,1096.96,0.86364,0.54845,0.96849,0.82372,0.75432,0.83161,0.55291,0.85073,0.54562,0.95184,0.000834822,0.000834822,0.000834822
23,1209.47,0.85248,0.54101,0.96518,0.83341,0.75444,0.83531,0.56517,0.84015,0.54672,0.94936,0.000806528,0.000806528,0.000806528
24,1285.22,0.84726,0.53085,0.95819,0.81912,0.76669,0.83677,0.56373,0.83114,0.53721,0.94899,0.000778233,0.000778233,0.000778233
25,1334.11,0.83196,0.52115,0.95616,0.84795,0.75595,0.843,0.57321,0.82453,0.52419,0.94315,0.000749939,0.000749939,0.000749939
26,1383.13,0.82534,0.51635,0.95024,0.84678,0.77969,0.85821,0.57923,0.82445,0.5183,0.94329,0.000721645,0.000721645,0.000721645
27,1431.97,0.8184,0.50754,0.94665,0.84041,0.76135,0.8463,0.57992,0.8189,0.51042,0.93851,0.000693351,0.000693351,0.000693351
28,1480.97,0.80798,0.50039,0.94502,0.83377,0.79581,0.86208,0.58341,0.8176,0.50943,0.93734,0.000665057,0.000665057,0.000665057
29,1529.84,0.80062,0.49426,0.94317,0.87156,0.7785,0.86489,0.59231,0.80906,0.50627,0.93302,0.000636762,0.000636762,0.000636762
30,1578.85,0.79271,0.48899,0.93725,0.85972,0.79291,0.86649,0.59422,0.80111,0.49708,0.93539,0.000608468,0.000608468,0.000608468
